Code,Description,Name,Type,Group
400,The server cannot or will not process the request due to an apparent client error.,Bad Request,Error,
401,"Similar to 403 Forbidden, but specifically for use when authentication is required and has failed or has not been provided.",Unauthorized,Error,Unauthorized
402,Reserved for future use.,Payment Required,Error,Unauthorized
403,"The request was valid, but the server is refusing action. The user might not have the necessary permissions for a resource.",Forbidden,Error,Unauthorized
404,The requested resource could not be found but may be available in the future.,Not Found,Error,Not Found
405,A request method is not supported for the requested resource.,Method Not Allowed,Error,Unauthorized
406,The requested resource is capable of generating only content not acceptable according to the Accept headers sent in the request.,Not Acceptable,Error,
407,The client must first authenticate itself with the proxy.,Proxy Authentication Required,Error,
408,"The server timed out waiting for the request. According to HTTP specifications: ""The client did not produce a request within the time that the server was prepared to wait. The client MAY repeat the request without modifications at any later time.""",Request Timeout,Error,Server Configuration
409,"Indicates that the request could not be processed because of conflict in the request, such as an edit conflict between multiple simultaneous updates.",Conflict,Error,
410,Indicates that the resource requested is no longer available and will not be available again.,Gone,Error,Not Found
411,"The request did not specify the length of its content, which is required by the requested resource.",Length Required,Error,
412,The server does not meet one of the preconditions that the requester put on the request.,Precondition Failed,Error,Unauthorized
413,The request is larger than the server is willing or able to process.,Payload Too Large,Error,Server Configuration
414,The URI provided was too long for the server to process.,URI Too Long,Error,Server Configuration
415,The request entity has a media type which the server or resource does not support.,Unsupported Media Type,Error,
416,"The client has asked for a portion of the file (byte serving), but the server cannot supply that portion.",Range Not Satisfiable,Error,
417,The server cannot meet the requirements of the Expect request-header field.,Expectation Failed,Error,
421,The request was directed at a server that is not able to produce a response.,Misdirected Request,Error,
422,The request was well-formed but was unable to be followed due to semantic errors.,Unprocessable Entity,Error,
423,The resource that is being accessed is locked.,Locked,Error,
424,The request failed due to failure of a previous request.,Failed Dependency,Error,
425,Indicates that the server is unwilling to risk processing a request that might be replayed.,Too Early,Error,
426,"The client should switch to a different protocol such as TLS/1.0, given in the Upgrade header field.",Upgrade Required,Error,
428,The origin server requires the request to be conditional.,Precondition Required,Error,
429,The user has sent too many requests in a given amount of time.,Too Many Requests,Error,
431,"The server is unwilling to process the request because either an individual header field, or all the header fields collectively, are too large.",Request Header Fields Too Large,Error,
444,The server returns no information to the client and closes the connection.,No Response,Error,
449,The server cannot honour the request because the user has not provided the required information.,Retry With,Error,
450,A Windows Parental Controls-controlled user attempted to access a forbidden website. The site should not be displayed.,Blocked by Windows Parental Controls,Error,
451,The server is denying access to the resource as a consequence of a legal demand,Unavailable For Legal Reasons,Error,
500,"A generic error message, given when no more specific message is suitable",Internal Server Error,Error,
501,"The server either does not recognize the request method, or it lacks the ability to fulfil the request",Not Implemented,Error,
502,The server was acting as a gateway or proxy and received an invalid response from the upstream server,Bad Gateway,Error,
503,The server is currently unavailable (because it is overloaded or down for maintenance),Service Unavailable,Error,
504,The server was acting as a gateway or proxy and did not receive a timely response from the upstream server,Gateway Timeout,Error,
505,The server does not support the HTTP protocol version used in the request,HTTP Version Not Supported,Error,
506,Transparent content negotiation for the request results in a circular reference,Variant Also Negotiates,Error,
507,The server is unable to store the representation needed to complete the request,Insufficient Storage,Error,
508,The server detected an infinite loop while processing the request,Loop Detected,Error,
509,The server has exceeded the bandwidth specified by the server administrator,Bandwidth Limit Exceeded,Error,
510,Further extensions to the request are required for the server to fulfil it,Not Extended,Error,
511,The client needs to authenticate to gain network access,Network Authentication Required,Error,
550,The server refuses to fulfill the request.,Permission Denied,Error,
551,"The client needs to change the request, such as adding a new request header.",Option Not Supported,Error,
598,The server did not receive a complete request message within the time that it was prepared to wait.,Network Read Timeout Error,Error,
599,The client did not produce a request within the time that the server was prepared to wait. The client may repeat the request without modifications at any later time.,Network Connect Timeout Error,Error,
100,"The server has received the request headers, and the client should proceed to send the request body",Continue,Informational,
101,The requester has asked the server to switch protocols,Switching Protocols,Informational,
102,"The server is processing the request, but no response is available yet",Processing,Informational,
103,The server is sending the client some information about the response before the full response is ready,Early Hints,Informational,
300,There are multiple options available for the resource that the client may follow,Multiple Choices,Redirection,
301,The requested resource has been permanently moved to a new location,Moved Permanently,Redirection,
302,The requested resource has been temporarily moved to a new location,Found,Redirection,
303,The response to the request can be found under a different URI,See Other,Redirection,
304,The requested resource has not been modified since the last time it was accessed,Not Modified,Redirection,
305,The requested resource must be accessed through the proxy given by the Location field,Use Proxy,Redirection,
306,This status code is no longer used and is reserved for future use,Switch Proxy,Redirection,
307,The requested resource has been temporarily moved to a new location,Temporary Redirect,Redirection,
308,The requested resource has been permanently moved to a new location,Permanent Redirect,Redirection,
200,Standard response for successful HTTP requests.,OK,Success,Okay
201,"The request has been fulfilled, resulting in the creation of a new resource.",Created,Success,
202,"The request has been accepted for processing, but the processing has not been completed.",Accepted,Success,
203,"The server is a transforming proxy (e.g. a Web accelerator) that received a 200 OK from its origin, but is returning a modified version of the originâ€™s response.",Non-Authoritative Information,Success,
204,The server successfully processed the request and is not returning any content.,No Content,Success,
205,"The server successfully processed the request and is not returning any content. Unlike a 204 response, this response requires that the requester reset the document view.",Reset Content,Success,
206,The server is delivering only part of the resource due to a range header sent by the client.,Partial Content,Success,
207,"The message body that follows is by default an XML message and can contain a number of separate response codes, depending on how many sub-requests were made.",Multi-Status,Success,
208,"The members of a DAV binding have already been enumerated in a previous reply to this request, and are not being included again.",Already Reported,Success,
226,"The server has fulfilled a request for the resource, and the response is a representation of the result of one or more instance-manipulations applied to the current instance.",IM Used,Success,
999,The Uppies Check experienced a problem.,Uppies Check Error,Error,Uppies Error
998,The Uppies experienced an encoding error.,Uppies Encoding Error,Error,Uppies Error